ensembl_gene_id	GTEx_gene_id_version	Description	Adipose...Subcutaneous	Adipose...Visceral..Omentum.	Adrenal.Gland	Artery...Aorta	Artery...Coronary	Artery...Tibial	Bladder	Brain...Amygdala	Brain...Anterior.cingulate.cortex..BA24.	Brain...Caudate..basal.ganglia.	Brain...Cerebellar.Hemisphere	Brain...Cerebellum	Brain...Cortex	Brain...Frontal.Cortex..BA9.	Brain...Hippocampus	Brain...Hypothalamus	Brain...Nucleus.accumbens..basal.ganglia.	Brain...Putamen..basal.ganglia.	Brain...Spinal.cord..cervical.c.1.	Brain...Substantia.nigra	Breast...Mammary.Tissue	Cells...EBV.transformed.lymphocytes	Cells...Transformed.fibroblasts	Cervix...Ectocervix	Cervix...Endocervix	Colon...Sigmoid	Colon...Transverse	Esophagus...Gastroesophageal.Junction	Esophagus...Mucosa	Esophagus...Muscularis	Fallopian.Tube	Heart...Atrial.Appendage	Heart...Left.Ventricle	Kidney...Cortex	Liver	Lung	Minor.Salivary.Gland	Muscle...Skeletal	Nerve...Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin...Not.Sun.Exposed..Suprapubic.	Skin...Sun.Exposed..Lower.leg.	Small.Intestine...Terminal.Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole.Blood	tissue_means	sum
ENSG00000238256	ENSG00000238256.1	MTND5P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230446	ENSG00000230446.1	RP11-423O2.3	0	0	0.12075	0	0	0	0.1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1643	0.1099	0	0.4907	0	0	0	0	0	0.356	0	0	0	0	0	0.1207	0.090415	0.16115	0.2207	0	0.1116	0.1209	0.1239	0.1445	0.06895	0	0	0.2276	0.24235	0.1922	0	0	0.0609285849056604	3.29014358490566
ENSG00000236055	ENSG00000236055.1	RP11-423O2.2	0.2077	0.1063	0.3126	0.2248	0.2777	0.2279	0.4662	0	0	0	0.1363	0.2355	0	0	0	0	0	0	0.06852	0	0.2988	0.41415	0.2655	0.273755	0.5069	0.2704	0.16005	0.29195	0.1463	0.23945	0.2888	0.1349	0.1004	0.08294	0.04784	0.2204	0.3674	0.25285	0.49995	0.7116	0.10825	0.3116	0.36245	0.2987	0.3788	0.2231	0.1527	0.18085	0.5362	0.6705	0.4457	0.3454	0	0.223624622641509	12.0757296226415
ENSG00000230255	ENSG00000230255.1	RP11-423O2.1	0.14175	0.08487	0.1855	0.1371	0.158	0.1597	0.3726	0	0	0	0.07466	0.1843	0.027285	0	0	0	0	0	0.06442	0	0.18445	0.23205	0.1766	0.19515	0.781	0.1477	0.1232	0.1673	0.08054	0.168	0.3204	0.09462	0.05673	0.05254	0.03289	0.1124	0.2355	0.1507	0.33545	0.4597	0.068125	0.2102	0.1976	0.2087	0.2599	0.13	0.082405	0.10435	0.3393	0.41785	0.292	0.2003	0	0.154864811320755	8.36269981132076
ENSG00000231289	ENSG00000231289.1	RP11-782C8.6	0.064625	0	0.10125	0.09623	0.0526	0.06401	0.1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07022	0	0.0389	0.024855	0	0.02818	0	0.059445	0	0.05882	0.1951	0.02133	0	0	0	0.0324	0.06777	0.038165	0.12975	0.3085	0	0.0748	0.04103	0.08138	0.116	0.05783	0	0	0.1019	0.1128	0.1485	0.0907	0	0.0451092452830189	2.43589924528302
ENSG00000229420	ENSG00000229420.1	RP11-782C8.7	0	0	0.1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1276	0	0	0	0	0	0	0.2949	0	0	0	0	0	0	0	0.1259	0.3399	0	0	0	0	0.09284	0	0	0	0.07874	0	0.1037	0	0	0.0238920754716981	1.2901720754717
ENSG00000234654	ENSG00000234654.1	RP11-782C8.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00586037735849057	0.316460377358491
ENSG00000225010	ENSG00000225010.1	RP11-435B5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232571	ENSG00000232571.1	RP11-435B5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234604	ENSG00000234604.2	RP1-206D15.5	0.51005	0.7735	0.3396	0.4608	0	0.4747	0.5508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8751	0	0.3636	0.53365	0	0.34	0.26635	0.50895	0	0.3288	1.006	0.5365	0.2848	0	0	0.6079	0.475	0.5813	0.6848	0.9361	0.30985	0.3944	0	0.5646	0.5466	0.3682	0	0.4668	0	0.57655	0.4321	0.4427	0	0.293209433962264	15.8333094339623
ENSG00000234863	ENSG00000234863.1	RP11-410C4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228525	ENSG00000228525.1	RP5-1087E8.2	0	0	0	0	0	0	0	0	0	0	0.29895	0.2979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14435	0	0	0.44675	0	0	0	0	0	0	0.2336	0	0	0	0	0	0.0268216981132075	1.44837169811321
ENSG00000238236	ENSG00000238236.1	RP4-534P7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235638	ENSG00000235638.1	MTND6P14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231199	ENSG00000231199.2	MTND5P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226663	ENSG00000226663.2	MTND4P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231582	ENSG00000231582.2	RP11-293G6__B.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232714	ENSG00000232714.1	MTND3P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235761	ENSG00000235761.2	RP11-293G6__B.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270188	ENSG00000270188.1	MTRNR2L11	0	0	0	0	0	0	0	0.02028	0.01633	0.0178	0	0	0	0.01462	0.01577	0.01436	0.01755	0.014705	0	0.017585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281132075471698	0.151811320754717
ENSG00000232154	ENSG00000232154.2	RP11-193H5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225723	ENSG00000225723.1	MTND6P15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227860	ENSG00000227860.1	MTND5P18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226014	ENSG00000226014.1	RP11-467I20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240960	ENSG00000240960.1	RP11-521D12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234189	ENSG00000234189.1	AC099799.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230327	ENSG00000230327.1	AC009234.1	0	0	0	0	0	0	0	0.025655	0	0	0.26205	0.4301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207038679245283	1.11800886792453
ENSG00000233444	ENSG00000233444.1	AC013262.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226700	ENSG00000226700.1	MTND4P25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225045	ENSG00000225045.1	MTND5P27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02033	0	0	0	0	0.000383584905660377	0.0207135849056604
ENSG00000224695	ENSG00000224695.1	MTND6P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227789	ENSG00000227789.1	AC098817.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235463	ENSG00000235463.1	AC078974.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229604	ENSG00000229604.2	MTATP8P2	0.62945	0.6157	0.7984	0.2671	0.3607	0.3935	0	0.86935	0.7878	1.2365	0.53515	0.7045	0.9454	0.7425	0.9748	0.8823	1.036	1.0085	0.6798	0.8297	0.59065	0.27265	0.2215	0	0.3498	0.4922	0.61325	0.5136	0.2915	0.4858	0	1.078	1.606	0.965	0.7845	0.4897	0.3474	0.78795	0.3963	0.3237	0.24215	0.3779	0.5781	0.5187	0.4933	0.7325	0.37825	0.5842	0.5807	0.57815	0.3015	0.2688	0.1918	0.579862264150943	31.3125622641509
ENSG00000237055	ENSG00000237055.1	AC097374.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07928	0	0	0	0	0.00149584905660377	0.0807758490566038
ENSG00000232128	ENSG00000232128.1	AC097374.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226341	ENSG00000226341.1	AC062016.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230158	ENSG00000230158.1	MTND1P28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230950	ENSG00000230950.1	MTND2P21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228898	ENSG00000228898.1	AC012365.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236878	ENSG00000236878.1	AC012363.7	0.1855	0.2399	0.10775	0.3028	0.3411	0.2822	0.2272	0.33205	0.2883	0.3566	2.2865	1.824	0.3532	0.4487	0.3574	0.4119	0.3771	0.2741	0.4511	0.2991	0.29185	0.2398	0.198	0.5519	0.8243	0.5138	0.28395	0.44395	0.2661	0.40495	0.1013	0.1464	0.1143	0.1495	0.08184	0.4074	0.3594	0.090135	0.4708	0.4354	0.11395	0.4847	0.683	0.2475	0.1915	0.3467	0.72145	0.1979	0.2252	0.6099	0.9105	0.6885	0.1378	0.409059905660377	22.0892349056604
ENSG00000227788	ENSG00000227788.1	AC012363.8	0.14205	0.1791	0.072605	0.2195	0.2325	0.2225	0.2906	0.15675	0.1243	0.187	1.379	1.156	0.1684	0.1903	0.1789	0.2032	0.2212	0.16565	0.2718	0.17355	0.22905	0.16885	0.1784	0.5561	0.6291	0.3727	0.21145	0.2938	0.1803	0.28195	0.7978	0.1179	0.06914	0.1019	0.04962	0.2939	0.2717	0.074405	0.34575	0.3247	0.09468	0.2784	0.4133	0.1863	0.1375	0.2828	0.44805	0.15745	0.1528	0.41415	0.6736	0.4595	0.08252	0.288008867924528	15.5524788679245
ENSG00000233286	ENSG00000233286.1	MTND3P10	0	0	0	0.1403	0.1082	0.08118	0.1438	0	0	0.09133	0.69725	0.6035	0.0797	0.08403	0.0868	0.09006	0.08174	0.07293	0.1293	0	0.1169	0.09973	0.1027	0.31295	0.5877	0.1754	0.097745	0.16015	0.09113	0.1423	0.3521	0.06124	0	0	0	0.1628	0.1233	0	0.1939	0.1393	0	0.1255	0.1958	0.08718	0	0.1757	0.1743	0	0	0.1831	0.4686	0.3	0	0.134332924528302	7.2539779245283
ENSG00000243104	ENSG00000243104.1	AC012363.10	0	0	0	0	0.1339	0	0.1749	0	0	0.076775	0.60385	0.4743	0	0	0	0	0	0	0.141	0	0.08915	0.073355	0	0.20835	0	0.1549	0.1007	0.1544	0	0.1429	0.3978	0	0	0	0	0.1316	0.1884	0	0.16205	0	0	0.1209	0.17625	0	0	0.1384	0.15025	0	0	0.17065	0.3011	0.2252	0	0.0885109433962264	4.77959094339623
ENSG00000234065	ENSG00000234065.2	MTND4P26	0.1208	0.1195	0.051035	0.1762	0.1952	0.1691	0.2558	0.09284	0.08692	0.12665	0.7051	0.6419	0.10245	0.09895	0.09558	0.1046	0.1167	0.07629	0.1707	0.098255	0.15265	0.14605	0.1281	0.33885	0.2664	0.2423	0.134	0.2262	0.1255	0.1977	0.3397	0.09394	0.06283	0.05172	0	0.2104	0.2124	0.052535	0.2827	0.2395	0.069265	0.1855	0.2609	0.1372	0.1138	0.1734	0.21445	0.1023	0.08171	0.2676	0.5525	0.3358	0	0.181178679245283	9.78364867924528
ENSG00000223549	ENSG00000223549.1	MTND5P28	0.10395	0.1027	0.04337	0.1412	0.1463	0.1504	0.2181	0.06995	0.07359	0.10215	0.5301	0.5029	0.08782	0.09469	0.07257	0.09588	0.09825	0.05951	0.1351	0.06491	0.1395	0.14075	0.1099	0.3585	0.3828	0.2147	0.1255	0.2044	0.1131	0.18845	0.1942	0.08568	0.04689	0.04701	0.01789	0.1732	0.1995	0.049455	0.2433	0.193	0.06582	0.1503	0.18285	0.1202	0.1066	0.1642	0.12455	0.08678	0.09599	0.21425	0.4666	0.2829	0.04146	0.155163490566038	8.37882849056604
ENSG00000238046	ENSG00000238046.1	MTND5P22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237722	ENSG00000237722.1	MTND1P29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231954	ENSG00000231954.1	MTND2P22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236211	ENSG00000236211.1	AC068137.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230496	ENSG00000230496.1	AC068137.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232990	ENSG00000232990.2	MTATP6P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
