hgnc_symbol	ensembl_gene_id_version	transcript_count	gene_biotype	description
NA	ENSG00000225010.1	1	pseudogene	NA
MTND5P27	ENSG00000225045.1	1	pseudogene	MT-ND5 pseudogene 27 [Source:HGNC Symbol;Acc:42289]
MTND1P18	ENSG00000225276.1	1	pseudogene	MT-ND1 pseudogene 18 [Source:HGNC Symbol;Acc:42067]
MTND4P4	ENSG00000225295.1	1	pseudogene	MT-ND4 pseudogene 4 [Source:HGNC Symbol;Acc:42191]
MTND1P12	ENSG00000225433.2	1	pseudogene	MT-ND1 pseudogene 12 [Source:HGNC Symbol;Acc:42061]
NA	ENSG00000225476.1	1	pseudogene	NA
NA	ENSG00000225478.2	1	pseudogene	NA
NA	ENSG00000225551.1	1	pseudogene	NA
NA	ENSG00000225557.1	1	pseudogene	NA
MTND2P28	ENSG00000225630.1	1	pseudogene	MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:42129]
MTND6P15	ENSG00000225723.1	1	pseudogene	MT-ND6 pseudogene 15 [Source:HGNC Symbol;Acc:39478]
MTND4P23	ENSG00000225796.2	1	pseudogene	MT-ND4 pseudogene 23 [Source:HGNC Symbol;Acc:42210]
MTND2P9	ENSG00000225901.1	1	pseudogene	MT-ND2 pseudogene 9 [Source:HGNC Symbol;Acc:42110]
NA	ENSG00000225911.1	1	pseudogene	NA
MTND4P3	ENSG00000225959.1	1	pseudogene	MT-ND4 pseudogene 3 [Source:HGNC Symbol;Acc:42190]
MTND1P23	ENSG00000225972.1	1	pseudogene	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:42092]
NA	ENSG00000226014.1	1	pseudogene	NA
MTND3P1	ENSG00000226118.1	1	pseudogene	MT-ND3 pseudogene 1 [Source:HGNC Symbol;Acc:39856]
NA	ENSG00000226313.1	1	pseudogene	NA
NA	ENSG00000226341.1	1	pseudogene	NA
NA	ENSG00000226392.1	1	pseudogene	NA
NA	ENSG00000226414.1	1	pseudogene	NA
NA	ENSG00000226509.1	1	pseudogene	NA
MTND1P1	ENSG00000226529.1	1	pseudogene	MT-ND1 pseudogene 1 [Source:HGNC Symbol;Acc:38728]
NA	ENSG00000226579.1	1	pseudogene	NA
MTND4P10	ENSG00000226663.2	1	pseudogene	MT-ND4 pseudogene 10 [Source:HGNC Symbol;Acc:42225]
MTND4P25	ENSG00000226700.1	1	pseudogene	MT-ND4 pseudogene 25 [Source:HGNC Symbol;Acc:42212]
MTND1P20	ENSG00000226794.1	1	pseudogene	MT-ND1 pseudogene 20 [Source:HGNC Symbol;Acc:42069]
MTND6P11	ENSG00000226839.1	1	pseudogene	MT-ND6 pseudogene 11 [Source:HGNC Symbol;Acc:39474]
NA	ENSG00000226960.1	1	pseudogene	NA
NA	ENSG00000227035.1	1	pseudogene	NA
NA	ENSG00000227149.1	1	pseudogene	NA
MTND1P14	ENSG00000227225.1	1	pseudogene	MT-ND1 pseudogene 14 [Source:HGNC Symbol;Acc:42063]
MTND6P10	ENSG00000227275.1	1	pseudogene	MT-ND6 pseudogene 10 [Source:HGNC Symbol;Acc:39473]
MTND4P15	ENSG00000227321.2	1	pseudogene	MT-ND4 pseudogene 15 [Source:HGNC Symbol;Acc:42202]
MTND5P25	ENSG00000227348.1	1	pseudogene	MT-ND5 pseudogene 25 [Source:HGNC Symbol;Acc:42287]
MTND4P30	ENSG00000227454.2	1	pseudogene	MT-ND4 pseudogene 30 [Source:HGNC Symbol;Acc:42217]
MTND3P9	ENSG00000227557.1	1	pseudogene	MT-ND3 pseudogene 9 [Source:HGNC Symbol;Acc:42149]
MTND4P5	ENSG00000227584.1	1	pseudogene	MT-ND4 pseudogene 5 [Source:HGNC Symbol;Acc:42192]
NA	ENSG00000227649.1	1	pseudogene	NA
NA	ENSG00000227661.1	1	pseudogene	NA
MTND6P18	ENSG00000227714.1	1	pseudogene	MT-ND6 pseudogene 18 [Source:HGNC Symbol;Acc:39481]
MTND6P5	ENSG00000227730.2	1	pseudogene	MT-ND6 pseudogene 5 [Source:HGNC Symbol;Acc:39468]
NA	ENSG00000227736.1	1	pseudogene	NA
NA	ENSG00000227788.1	1	pseudogene	NA
NA	ENSG00000227789.1	1	pseudogene	NA
NA	ENSG00000227795.1	1	pseudogene	NA
MTND5P18	ENSG00000227860.1	1	pseudogene	MT-ND5 pseudogene 18 [Source:HGNC Symbol;Acc:42302]
MTND2P30	ENSG00000227937.1	1	pseudogene	MT-ND2 pseudogene 30 [Source:HGNC Symbol;Acc:42131]
MTND5P1	ENSG00000227999.1	1	pseudogene	MT-ND5 pseudogene 1 [Source:HGNC Symbol;Acc:39644]
NA	ENSG00000228046.2	1	pseudogene	NA
NA	ENSG00000228069.1	1	pseudogene	NA
NA	ENSG00000228097.1	1	pseudogene	NA
MTND1P17	ENSG00000228122.1	1	pseudogene	MT-ND1 pseudogene 17 [Source:HGNC Symbol;Acc:42095]
MTND1P11	ENSG00000228166.1	1	pseudogene	MT-ND1 pseudogene 11 [Source:HGNC Symbol;Acc:42060]
MTND2P25	ENSG00000228182.1	1	pseudogene	MT-ND2 pseudogene 25 [Source:HGNC Symbol;Acc:42126]
NA	ENSG00000228316.1	1	pseudogene	NA
MTND5P6	ENSG00000228440.1	1	pseudogene	MT-ND5 pseudogene 6 [Source:HGNC Symbol;Acc:42268]
NA	ENSG00000228525.1	1	pseudogene	NA
MTND4P1	ENSG00000228597.1	1	pseudogene	MT-ND4 pseudogene 1 [Source:HGNC Symbol;Acc:42035]
MTND4P18	ENSG00000228694.1	1	pseudogene	MT-ND4 pseudogene 18 [Source:HGNC Symbol;Acc:42205]
MTND2P12	ENSG00000228725.3	1	pseudogene	MT-ND2 pseudogene 12 [Source:HGNC Symbol;Acc:42113]
NA	ENSG00000228770.1	1	pseudogene	NA
NA	ENSG00000228803.1	1	pseudogene	NA
NA	ENSG00000228851.1	1	pseudogene	NA
NA	ENSG00000228898.1	1	pseudogene	NA
MTCO1P3	ENSG00000228930.1	1	pseudogene	MT-CO1 pseudogene 3 [Source:HGNC Symbol;Acc:39604]
MTND1P9	ENSG00000228995.1	1	pseudogene	MT-ND1 pseudogene 9 [Source:HGNC Symbol;Acc:42099]
NA	ENSG00000229031.1	1	pseudogene	NA
MTND1P10	ENSG00000229088.1	1	pseudogene	MT-ND1 pseudogene 10 [Source:HGNC Symbol;Acc:42097]
NA	ENSG00000229344.1	1	pseudogene	NA
NA	ENSG00000229420.1	1	pseudogene	NA
MTATP8P2	ENSG00000229604.2	1	pseudogene	mitochondrially encoded ATP synthase 8 pseudogene 2 [Source:HGNC Symbol;Acc:44572]
MTND5P2	ENSG00000229622.1	1	pseudogene	MT-ND5 pseudogene 2 [Source:HGNC Symbol;Acc:41919]
MTCO2P1	ENSG00000229690.1	1	pseudogene	MT-CO2 pseudogene 1 [Source:HGNC Symbol;Acc:16564]
MTND2P20	ENSG00000229701.1	1	pseudogene	MT-ND2 pseudogene 20 [Source:HGNC Symbol;Acc:42121]
NA	ENSG00000229760.1	1	pseudogene	NA
NA	ENSG00000229794.2	1	pseudogene	NA
NA	ENSG00000229830.1	1	pseudogene	NA
NA	ENSG00000229842.2	1	pseudogene	NA
NA	ENSG00000229899.1	1	pseudogene	NA
NA	ENSG00000229935.1	1	pseudogene	NA
MTND2P2	ENSG00000229954.1	1	pseudogene	MT-ND2 pseudogene 2 [Source:HGNC Symbol;Acc:23767]
MTCO2P3	ENSG00000230009.1	1	pseudogene	MT-CO2 pseudogene 3 [Source:HGNC Symbol;Acc:39576]
MTND3P2	ENSG00000230052.1	1	pseudogene	MT-ND3 pseudogene 2 [Source:HGNC Symbol;Acc:42142]
NA	ENSG00000230112.1	1	pseudogene	NA
NA	ENSG00000230130.1	1	pseudogene	NA
MTND1P28	ENSG00000230158.1	1	pseudogene	MT-ND1 pseudogene 28 [Source:HGNC Symbol;Acc:42077]
MTND5P14	ENSG00000230225.1	1	pseudogene	MT-ND5 pseudogene 14 [Source:HGNC Symbol;Acc:42276]
MTND2P4	ENSG00000230252.1	1	pseudogene	MT-ND2 pseudogene 4 [Source:HGNC Symbol;Acc:42105]
NA	ENSG00000230255.1	1	pseudogene	NA
MTND3P4	ENSG00000230302.2	1	pseudogene	MT-ND3 pseudogene 4 [Source:HGNC Symbol;Acc:42144]
NA	ENSG00000230321.1	1	pseudogene	NA
NA	ENSG00000230327.1	1	pseudogene	NA
MTND4P19	ENSG00000230338.1	1	pseudogene	MT-ND4 pseudogene 19 [Source:HGNC Symbol;Acc:42206]
NA	ENSG00000230446.1	1	pseudogene	NA
NA	ENSG00000230496.1	1	pseudogene	NA
MTND5P7	ENSG00000230531.1	1	pseudogene	MT-ND5 pseudogene 7 [Source:HGNC Symbol;Acc:42269]
MTND4P27	ENSG00000230548.1	1	pseudogene	MT-ND4 pseudogene 27 [Source:HGNC Symbol;Acc:42214]
NA	ENSG00000230605.1	1	pseudogene	NA
NA	ENSG00000230654.1	1	pseudogene	NA
NA	ENSG00000230755.1	1	pseudogene	NA
MTND1P4	ENSG00000230764.1	1	pseudogene	MT-ND1 pseudogene 4 [Source:HGNC Symbol;Acc:42053]
MTND2P16	ENSG00000230818.1	1	pseudogene	MT-ND2 pseudogene 16 [Source:HGNC Symbol;Acc:42117]
NA	ENSG00000230916.2	1	pseudogene	NA
MTND2P21	ENSG00000230950.1	1	pseudogene	MT-ND2 pseudogene 21 [Source:HGNC Symbol;Acc:42122]
MTND5P8	ENSG00000230999.1	1	pseudogene	MT-ND5 pseudogene 8 [Source:HGNC Symbol;Acc:42270]
NA	ENSG00000231034.1	1	pseudogene	NA
MTND2P15	ENSG00000231152.1	1	pseudogene	MT-ND2 pseudogene 15 [Source:HGNC Symbol;Acc:42116]
MTND5P19	ENSG00000231199.2	1	pseudogene	MT-ND5 pseudogene 19 [Source:HGNC Symbol;Acc:42301]
NA	ENSG00000231289.1	1	pseudogene	NA
MTND4LP1	ENSG00000231501.1	1	pseudogene	MT-ND4L pseudogene 1 [Source:HGNC Symbol;Acc:31347]
NA	ENSG00000231537.1	1	pseudogene	NA
MTND2P19	ENSG00000231567.1	1	pseudogene	MT-ND2 pseudogene 19 [Source:HGNC Symbol;Acc:42120]
NA	ENSG00000231576.1	1	pseudogene	NA
NA	ENSG00000231582.2	1	pseudogene	NA
NA	ENSG00000231766.1	1	pseudogene	NA
MTND4P21	ENSG00000231777.1	1	pseudogene	MT-ND4 pseudogene 21 [Source:HGNC Symbol;Acc:42208]
MTND5P15	ENSG00000231888.1	1	pseudogene	MT-ND5 pseudogene 15 [Source:HGNC Symbol;Acc:42277]
MTND2P24	ENSG00000231947.1	1	pseudogene	MT-ND2 pseudogene 24 [Source:HGNC Symbol;Acc:42125]
MTND2P22	ENSG00000231954.1	1	pseudogene	MT-ND2 pseudogene 22 [Source:HGNC Symbol;Acc:42123]
NA	ENSG00000231961.1	1	pseudogene	NA
MTND1P13	ENSG00000232014.1	1	pseudogene	MT-ND1 pseudogene 13 [Source:HGNC Symbol;Acc:42096]
MTCO3P2	ENSG00000232102.1	1	pseudogene	MT-CO3 pseudogene 2 [Source:HGNC Symbol;Acc:39681]
NA	ENSG00000232128.1	1	pseudogene	NA
NA	ENSG00000232154.2	1	pseudogene	NA
MTND4P24	ENSG00000232177.1	1	pseudogene	MT-ND4 pseudogene 24 [Source:HGNC Symbol;Acc:42220]
NA	ENSG00000232179.1	1	pseudogene	NA
MTRNR2L4	ENSG00000232196.2	1	protein_coding	MT-RNR2-like 4 [Source:HGNC Symbol;Acc:37161]
NA	ENSG00000232198.2	1	pseudogene	NA
MTND1P32	ENSG00000232282.1	1	pseudogene	MT-ND1 pseudogene 32 [Source:HGNC Symbol;Acc:42081]
MTCYBP3	ENSG00000232373.2	1	pseudogene	MT-CYB pseudogene 3 [Source:HGNC Symbol;Acc:39579]
MTND5P3	ENSG00000232447.1	1	pseudogene	MT-ND5 pseudogene 3 [Source:HGNC Symbol;Acc:42034]
NA	ENSG00000232551.2	1	pseudogene	NA
NA	ENSG00000232571.1	1	pseudogene	NA
MTND2P23	ENSG00000232631.1	1	pseudogene	MT-ND2 pseudogene 23 [Source:HGNC Symbol;Acc:42124]
NA	ENSG00000232663.2	1	pseudogene	NA
MTND3P8	ENSG00000232714.1	1	pseudogene	MT-ND3 pseudogene 8 [Source:HGNC Symbol;Acc:42153]
NA	ENSG00000232752.1	1	pseudogene	NA
MTND4P22	ENSG00000232772.1	1	pseudogene	MT-ND4 pseudogene 22 [Source:HGNC Symbol;Acc:42209]
NA	ENSG00000232922.1	1	pseudogene	NA
NA	ENSG00000232975.1	1	pseudogene	NA
NA	ENSG00000232981.1	1	pseudogene	NA
NA	ENSG00000232982.1	1	pseudogene	NA
MTATP6P7	ENSG00000232990.2	1	pseudogene	mitochondrially encoded ATP synthase 6 pseudogene 7 [Source:HGNC Symbol;Acc:44581]
NA	ENSG00000233026.1	1	pseudogene	NA
MTND5P30	ENSG00000233039.1	1	pseudogene	MT-ND5 pseudogene 30 [Source:HGNC Symbol;Acc:42292]
NA	ENSG00000233134.1	1	pseudogene	NA
MTND6P9	ENSG00000233248.1	1	pseudogene	MT-ND6 pseudogene 9 [Source:HGNC Symbol;Acc:39472]
NA	ENSG00000233285.1	1	pseudogene	NA
MTND3P10	ENSG00000233286.1	1	pseudogene	MT-ND3 pseudogene 10 [Source:HGNC Symbol;Acc:42150]
NA	ENSG00000233311.1	1	pseudogene	NA
MTND4P20	ENSG00000233377.1	1	pseudogene	MT-ND4 pseudogene 20 [Source:HGNC Symbol;Acc:42207]
NA	ENSG00000233385.1	1	pseudogene	NA
NA	ENSG00000233444.1	1	pseudogene	NA
NA	ENSG00000233449.1	1	pseudogene	NA
NA	ENSG00000233484.2	1	pseudogene	NA
NA	ENSG00000233550.1	1	pseudogene	NA
MTND2P29	ENSG00000233595.2	1	pseudogene	MT-ND2 pseudogene 29 [Source:HGNC Symbol;Acc:42130]
MTND4P28	ENSG00000233709.1	1	pseudogene	MT-ND4 pseudogene 28 [Source:HGNC Symbol;Acc:42215]
NA	ENSG00000233764.1	1	pseudogene	NA
NA	ENSG00000233888.2	1	pseudogene	NA
NA	ENSG00000234003.1	1	pseudogene	NA
MTND4P26	ENSG00000234065.2	1	pseudogene	MT-ND4 pseudogene 26 [Source:HGNC Symbol;Acc:42213]
MTCYBP1	ENSG00000234179.1	1	pseudogene	MT-CYB pseudogene 1 [Source:HGNC Symbol;Acc:38729]
NA	ENSG00000234189.1	1	pseudogene	NA
NA	ENSG00000234234.1	1	pseudogene	NA
NA	ENSG00000234480.1	1	pseudogene	NA
MTND1P26	ENSG00000234576.1	1	pseudogene	MT-ND1 pseudogene 26 [Source:HGNC Symbol;Acc:42075]
NA	ENSG00000234594.1	1	pseudogene	NA
NA	ENSG00000234604.2	1	pseudogene	NA
NA	ENSG00000234654.1	1	pseudogene	NA
NA	ENSG00000234671.1	1	pseudogene	NA
NA	ENSG00000234700.1	1	pseudogene	NA
NA	ENSG00000234731.2	1	pseudogene	NA
NA	ENSG00000234842.1	1	pseudogene	NA
MTND2P3	ENSG00000234850.1	1	pseudogene	MT-ND2 pseudogene 3 [Source:HGNC Symbol;Acc:38727]
NA	ENSG00000234863.1	1	pseudogene	NA
MTND5P26	ENSG00000234886.1	1	pseudogene	MT-ND5 pseudogene 26 [Source:HGNC Symbol;Acc:42295]
MTND6P13	ENSG00000234901.1	1	pseudogene	MT-ND6 pseudogene 13 [Source:HGNC Symbol;Acc:39476]
MTND5P29	ENSG00000234934.1	1	pseudogene	MT-ND5 pseudogene 29 [Source:HGNC Symbol;Acc:42291]
MTND2P18	ENSG00000234939.1	1	pseudogene	MT-ND2 pseudogene 18 [Source:HGNC Symbol;Acc:42119]
MTND6P12	ENSG00000235039.1	1	pseudogene	MT-ND6 pseudogene 12 [Source:HGNC Symbol;Acc:39475]
MTCO3P1	ENSG00000235040.1	1	pseudogene	MT-CO3 pseudogene 1 [Source:HGNC Symbol;Acc:31342]
MTND5P23	ENSG00000235080.1	1	pseudogene	MT-ND5 pseudogene 23 [Source:HGNC Symbol;Acc:42285]
MTND1P31	ENSG00000235170.1	1	pseudogene	MT-ND1 pseudogene 31 [Source:HGNC Symbol;Acc:42080]
NA	ENSG00000235318.3	1	pseudogene	NA
MTND4P31	ENSG00000235382.1	1	pseudogene	MT-ND4 pseudogene 31 [Source:HGNC Symbol;Acc:42218]
NA	ENSG00000235433.1	1	pseudogene	NA
NA	ENSG00000235463.1	1	pseudogene	NA
NA	ENSG00000235524.1	1	pseudogene	NA
MTND1P33	ENSG00000235539.1	1	pseudogene	MT-ND1 pseudogene 33 [Source:HGNC Symbol;Acc:42082]
MTND6P14	ENSG00000235638.1	1	pseudogene	MT-ND6 pseudogene 14 [Source:HGNC Symbol;Acc:39477]
MTND1P2	ENSG00000235646.1	1	pseudogene	MT-ND1 pseudogene 2 [Source:HGNC Symbol;Acc:42051]
NA	ENSG00000235761.2	1	pseudogene	NA
NA	ENSG00000235794.1	1	pseudogene	NA
NA	ENSG00000235803.1	1	pseudogene	NA
NA	ENSG00000235917.1	1	pseudogene	NA
MTND1P21	ENSG00000235940.1	1	pseudogene	MT-ND1 pseudogene 21 [Source:HGNC Symbol;Acc:42070]
NA	ENSG00000236007.1	1	pseudogene	NA
NA	ENSG00000236055.1	1	pseudogene	NA
NA	ENSG00000236211.1	1	pseudogene	NA
NA	ENSG00000236232.1	1	pseudogene	NA
MTND4P14	ENSG00000236254.1	1	pseudogene	MT-ND4 pseudogene 14 [Source:HGNC Symbol;Acc:42201]
NA	ENSG00000236300.2	1	pseudogene	NA
MTATP6P4	ENSG00000236590.1	1	pseudogene	mitochondrially encoded ATP synthase 6 pseudogene 4 [Source:HGNC Symbol;Acc:44578]
MTND5P17	ENSG00000236626.1	1	pseudogene	MT-ND5 pseudogene 17 [Source:HGNC Symbol;Acc:42279]
NA	ENSG00000236689.1	1	pseudogene	NA
NA	ENSG00000236692.1	1	pseudogene	NA
NA	ENSG00000236878.1	1	pseudogene	NA
NA	ENSG00000237055.1	1	pseudogene	NA
MTND2P11	ENSG00000237124.1	1	pseudogene	MT-ND2 pseudogene 11 [Source:HGNC Symbol;Acc:42112]
NA	ENSG00000237129.1	1	pseudogene	NA
MTND2P8	ENSG00000237257.1	1	pseudogene	MT-ND2 pseudogene 8 [Source:HGNC Symbol;Acc:42109]
NA	ENSG00000237300.2	1	pseudogene	NA
MTND2P6	ENSG00000237309.1	1	pseudogene	MT-ND2 pseudogene 6 [Source:HGNC Symbol;Acc:42107]
NA	ENSG00000237466.1	1	pseudogene	NA
NA	ENSG00000237542.1	1	pseudogene	NA
NA	ENSG00000237628.2	1	pseudogene	NA
NA	ENSG00000237711.1	1	pseudogene	NA
MTND1P29	ENSG00000237722.1	1	pseudogene	MT-ND1 pseudogene 29 [Source:HGNC Symbol;Acc:42078]
NA	ENSG00000237910.1	1	pseudogene	NA
NA	ENSG00000237948.1	1	pseudogene	NA
NA	ENSG00000237973.1	1	pseudogene	hsa-mir-6723 [Source:miRBase;Acc:MI0022558]
MTND5P22	ENSG00000238046.1	1	pseudogene	MT-ND5 pseudogene 22 [Source:HGNC Symbol;Acc:42284]
MTND1P30	ENSG00000238047.1	1	pseudogene	MT-ND1 pseudogene 30 [Source:HGNC Symbol;Acc:42079]
NA	ENSG00000238236.1	1	pseudogene	NA
MTND5P20	ENSG00000238256.1	1	pseudogene	MT-ND5 pseudogene 20 [Source:HGNC Symbol;Acc:42300]
NA	ENSG00000238288.1	1	pseudogene	NA
NA	ENSG00000239568.1	1	pseudogene	NA
MTND1P16	ENSG00000239586.1	1	pseudogene	MT-ND1 pseudogene 16 [Source:HGNC Symbol;Acc:42065]
NA	ENSG00000239632.1	1	pseudogene	NA
MTND1P3	ENSG00000239648.1	1	pseudogene	MT-ND1 pseudogene 3 [Source:HGNC Symbol;Acc:42052]
MTND6P6	ENSG00000240034.1	1	pseudogene	MT-ND6 pseudogene 6 [Source:HGNC Symbol;Acc:39469]
NA	ENSG00000240084.1	1	pseudogene	NA
NA	ENSG00000240103.2	1	pseudogene	NA
NA	ENSG00000240309.1	1	pseudogene	NA
MTATP8P1	ENSG00000240409.1	1	pseudogene	mitochondrially encoded ATP synthase 8 pseudogene 1 [Source:HGNC Symbol;Acc:44571]
NA	ENSG00000240452.1	1	pseudogene	NA
NA	ENSG00000240791.1	1	pseudogene	NA
MTND2P14	ENSG00000240796.1	1	pseudogene	MT-ND2 pseudogene 14 [Source:HGNC Symbol;Acc:42115]
MTND3P7	ENSG00000240824.1	1	pseudogene	MT-ND3 pseudogene 7 [Source:HGNC Symbol;Acc:42147]
NA	ENSG00000240951.1	1	pseudogene	NA
NA	ENSG00000240960.1	1	pseudogene	NA
NA	ENSG00000241221.2	1	pseudogene	NA
TRNAS30P	ENSG00000241225.2	1	pseudogene	transfer RNA serine 30 (anticodon UGA) pseudogene [Source:HGNC Symbol;Acc:35087]
MTND4P16	ENSG00000241787.1	1	pseudogene	MT-ND4 pseudogene 16 [Source:HGNC Symbol;Acc:42203]
NA	ENSG00000241926.1	1	pseudogene	NA
MTND4P17	ENSG00000242178.1	1	pseudogene	MT-ND4 pseudogene 17 [Source:HGNC Symbol;Acc:42204]
MTND3P6	ENSG00000242214.1	1	pseudogene	MT-ND3 pseudogene 6 [Source:HGNC Symbol;Acc:42146]
NA	ENSG00000242246.2	1	pseudogene	NA
NA	ENSG00000242456.1	1	pseudogene	NA
TRNAQ41P	ENSG00000242752.3	1	pseudogene	transfer RNA glutamine 41 (anticodon UUG) pseudogene [Source:HGNC Symbol;Acc:35051]
NA	ENSG00000242836.1	1	pseudogene	NA
NA	ENSG00000243104.1	1	pseudogene	NA
NA	ENSG00000243257.1	1	pseudogene	NA
NA	ENSG00000243655.2	1	antisense	NA
MTND5P16	ENSG00000243658.1	1	pseudogene	MT-ND5 pseudogene 16 [Source:HGNC Symbol;Acc:42278]
NA	ENSG00000244921.2	1	pseudogene	NA
MTND4P12	ENSG00000247627.2	1	pseudogene	MT-ND4 pseudogene 12 [Source:HGNC Symbol;Acc:42199]
NA	ENSG00000248133.1	1	pseudogene	NA
MTND6P8	ENSG00000248136.1	1	pseudogene	MT-ND6 pseudogene 8 [Source:HGNC Symbol;Acc:39471]
NA	ENSG00000248170.1	1	pseudogene	NA
NA	ENSG00000248259.1	1	pseudogene	NA
NA	ENSG00000248282.1	1	pseudogene	NA
NA	ENSG00000248315.1	1	pseudogene	NA
NA	ENSG00000248328.1	1	pseudogene	NA
MTATP6P9	ENSG00000248420.1	1	pseudogene	mitochondrially encoded ATP synthase 6 pseudogene 9 [Source:HGNC Symbol;Acc:44583]
MTATP6P1	ENSG00000248527.1	1	pseudogene	mitochondrially encoded ATP synthase 6 pseudogene 1 [Source:HGNC Symbol;Acc:44575]
MTND4P8	ENSG00000248548.1	1	pseudogene	MT-ND4 pseudogene 8 [Source:HGNC Symbol;Acc:42227]
NA	ENSG00000248654.1	1	pseudogene	NA
MTND4P2	ENSG00000248704.1	1	pseudogene	MT-ND4 pseudogene 2 [Source:HGNC Symbol;Acc:42189]
NA	ENSG00000248729.1	1	pseudogene	NA
MTND5P9	ENSG00000248748.1	1	pseudogene	MT-ND5 pseudogene 9 [Source:HGNC Symbol;Acc:42305]
NA	ENSG00000248765.1	1	pseudogene	NA
NA	ENSG00000248770.1	1	pseudogene	NA
MTND2P33	ENSG00000248907.1	1	pseudogene	MT-ND2 pseudogene 33 [Source:HGNC Symbol;Acc:42134]
MTND5P11	ENSG00000248923.1	1	pseudogene	MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:42273]
NA	ENSG00000248931.1	1	pseudogene	NA
NA	ENSG00000248946.2	1	pseudogene	NA
NA	ENSG00000248951.2	1	pseudogene	NA
NA	ENSG00000249045.1	1	pseudogene	NA
NA	ENSG00000249072.1	1	pseudogene	NA
MTND6P4	ENSG00000249119.1	1	pseudogene	MT-ND6 pseudogene 4 [Source:HGNC Symbol;Acc:39467]
MTND3P3	ENSG00000249127.1	1	pseudogene	MT-ND3 pseudogene 3 [Source:HGNC Symbol;Acc:42155]
MTND4P29	ENSG00000249177.1	1	pseudogene	MT-ND4 pseudogene 29 [Source:HGNC Symbol;Acc:42216]
NA	ENSG00000249192.1	1	pseudogene	NA
NA	ENSG00000249247.1	1	pseudogene	NA
NA	ENSG00000249386.1	1	pseudogene	NA
NA	ENSG00000249448.1	1	pseudogene	NA
NA	ENSG00000249580.1	1	pseudogene	NA
NA	ENSG00000249698.1	1	pseudogene	NA
MTND6P17	ENSG00000249770.1	1	pseudogene	MT-ND6 pseudogene 17 [Source:HGNC Symbol;Acc:39480]
NA	ENSG00000249780.1	1	pseudogene	NA
MTRNR2L5	ENSG00000249860.2	1	protein_coding	MT-RNR2-like 5 [Source:HGNC Symbol;Acc:37162]
MTND6P16	ENSG00000249893.1	1	pseudogene	MT-ND6 pseudogene 16 [Source:HGNC Symbol;Acc:39479]
NA	ENSG00000249990.1	1	pseudogene	NA
NA	ENSG00000249997.1	1	pseudogene	NA
MTND4P9	ENSG00000250050.1	1	pseudogene	MT-ND4 pseudogene 9 [Source:HGNC Symbol;Acc:42226]
