n_hgnc_symbol	mt_hgnc_symbol	n_start_numt	n_end_numt	mt_start_numt	mt_end_numt	n_leng	mt_leng	ov	percent_n	percent_mt
NA	MT-CO3	101700642	101700798	101700683	101701466	156	783	115	0.737179487179487	0.146871008939974
NA	MT-CO2	101800000	101800934	101800000	101800406	934	406	406	0.434689507494647	1
NA	MT-CO1	101900000	101900093	101900000	101900607	93	607	93	1	0.153212520593081
NA	MT-CO1	101900238	101900826	101900000	101900607	588	607	369	0.627551020408163	0.607907742998353
NA	MT-TS1	101900238	101900826	101900608	101900676	588	68	68	0.115646258503401	1
NA	MT-TD	101900238	101900826	101900680	101900747	588	67	67	0.113945578231293	1
NA	MT-CO2	101900238	101900826	101900748	101901431	588	683	78	0.13265306122449	0.114202049780381
NA	MT-CO1	102300126	102300798	102300049	102301590	672	1541	672	1	0.436080467229072
NA	MT-CO2	102301845	102303403	102301731	102302414	1558	683	569	0.365211810012837	0.833089311859444
NA	MT-TK	102301845	102303403	102302440	102302509	1558	69	69	0.0442875481386393	1
NA	MT-ATP8	102301845	102303403	102302511	102302717	1558	206	206	0.132220795892169	1
NA	MT-ATP6	102301845	102303403	102302672	102303352	1558	680	680	0.436456996148909	1
NA	MT-CO3	102301845	102303403	102303352	102304135	1558	783	51	0.0327342747111682	0.0651340996168582
MTND5P20	MT-ND5	102400000	102400141	102400000	102400820	141	820	141	1	0.171951219512195
NA	MT-CO3	102500002	102500289	102500000	102500596	287	596	287	1	0.481543624161074
NA	MT-ND3	102500352	102500944	102500665	102501010	592	345	279	0.471283783783784	0.808695652173913
NA	MT-CO3	102500352	102500944	102500000	102500596	592	596	244	0.412162162162162	0.409395973154362
NA	MT-TG	102500352	102500944	102500597	102500664	592	67	67	0.113175675675676	1
NA	MT-CO1	102600291	102601359	102600291	102601832	1068	1541	1068	1	0.693056456846204
NA	MT-TA	102900001	102901051	102900000	102900042	1050	42	41	0.039047619047619	0.976190476190476
NA	MT-TN	102900001	102901051	102900044	102900116	1050	72	72	0.0685714285714286	1
NA	MT-TC	102900001	102901051	102900148	102900213	1050	65	65	0.0619047619047619	1
NA	MT-TY	102900001	102901051	102900213	102900278	1050	65	65	0.0619047619047619	1
NA	MT-CO1	102900001	102901051	102900291	102901832	1050	1541	760	0.723809523809524	0.493186242699546
NA	MT-CO3	1.03e+08	103000420	1.03e+08	103000596	420	596	420	1	0.704697986577181
NA	MT-ND3	103000653	103001040	103000665	103001010	387	345	345	0.891472868217054	1
NA	MT-TG	103000653	103001040	103000597	103000664	387	67	11	0.0284237726098191	0.164179104477612
NA	MT-CO3	103100027	103100430	103100000	103100596	403	596	403	1	0.676174496644295
NA	MT-CO1	103200290	103201340	103200291	103201832	1050	1541	1049	0.999047619047619	0.680726800778715
NA	MT-ATP8	103500000	103500096	103500000	103500110	96	110	96	1	0.872727272727273
NA	MT-ATP6	103500000	103500096	103500065	103500745	96	680	31	0.322916666666667	0.0455882352941176
NA	MT-CO3	104300000	104300158	104300000	104300171	158	171	158	1	0.923976608187134
NA	MT-ND6	104400000	104400109	104400000	104400251	109	251	109	1	0.434262948207171
NA	MT-CYB	104500000	104500663	104500000	104501088	663	1088	663	1	0.609375
MTND6P14	MT-ND3	104600124	104600645	104600301	104600646	521	345	344	0.660268714011516	0.997101449275362
MTND6P14	MT-CO3	104600124	104600645	104600000	104600232	521	232	108	0.207293666026871	0.46551724137931
MTND6P14	MT-TG	104600124	104600645	104600233	104600300	521	67	67	0.128598848368522	1
MTND5P19	MT-TR	104600656	104602449	104600647	104600711	1793	64	55	0.0306748466257669	0.859375
MTND5P19	MT-ND4L	104600656	104602449	104600712	104601008	1793	296	296	0.165086447295036	1
MTND5P19	MT-ND4	104600656	104602449	104601002	104602379	1793	1377	1377	0.767986614612381	1
MTND5P19	MT-TH	104600656	104602449	104602380	104602448	1793	68	68	0.03792526491913	1
MTND5P19	MT-TS2	104600656	104602449	104602449	104602507	1793	58	0	0	0
MTND4P10	MT-ND5	104602657	104604019	104602579	104604390	1362	1811	1362	1	0.752070679182772
NA	MT-ND5	104604016	104604310	104602579	104604390	294	1811	294	1	0.162341247929321
MTND3P8	MT-ND5	104604363	104604701	104602579	104604390	338	1811	27	0.0798816568047337	0.014908890115958
MTND3P8	MT-ND6	104604363	104604701	104604391	104604915	338	524	310	0.917159763313609	0.591603053435115
NA	MT-ND6	104604763	104604994	104604391	104604915	231	524	152	0.658008658008658	0.290076335877863
NA	MT-TE	104604763	104604994	104604916	104604984	231	68	68	0.294372294372294	1
NA	MT-CYB	104604763	104604994	104604989	104606129	231	1140	5	0.0216450216450216	0.0043859649122807
MTRNR2L11	MT-ND1	104702961	104704512	104702709	104703664	1551	955	703	0.453255963894262	0.736125654450262
MTRNR2L11	MT-TI	104702961	104704512	104703665	104703733	1551	68	68	0.0438426821405545	1
MTRNR2L11	MT-TQ	104702961	104704512	104703731	104703802	1551	71	71	0.0457769181173436	1
MTRNR2L11	MT-TM	104702961	104704512	104703804	104703871	1551	67	67	0.0431979368149581	1
MTRNR2L11	MT-ND2	104702961	104704512	104703872	104704913	1551	1041	640	0.412637008381689	0.614793467819404
NA	MT-ND5	104900697	104901823	104900181	104901992	1126	1811	1126	1	0.621755935946991
MTND6P15	MT-ND5	104901894	104902414	104900181	104901992	520	1811	98	0.188461538461538	0.0541137493097736
MTND6P15	MT-ND6	104901894	104902414	104901993	104902517	520	524	421	0.809615384615385	0.803435114503817
MTND5P18	MT-ND6	104902416	104904216	104901993	104902517	1800	524	101	0.0561111111111111	0.192748091603053
MTND5P18	MT-TE	104902416	104904216	104902518	104902586	1800	68	68	0.0377777777777778	1
MTND5P18	MT-CYB	104902416	104904216	104902591	104903731	1800	1140	1140	0.633333333333333	1
MTND5P18	MT-TT	104902416	104904216	104903732	104903797	1800	65	65	0.0361111111111111	1
MTND5P18	MT-TP	104902416	104904216	104903800	104903867	1800	67	67	0.0372222222222222	1
NA	MT-CO1	1.05e+08	105000492	1.05e+08	105001287	492	1287	492	1	0.382284382284382
NA	MT-ND3	200100000	200100156	200100000	200100199	156	199	156	1	0.78391959798995
NA	MT-CYB	200400002	200400193	200400000	200400632	191	632	191	1	0.302215189873418
NA	MT-CO1	200800002	200800727	200800000	200801175	725	1175	725	1	0.617021276595745
NA	MT-CO2	201400000	201400251	201400000	201400410	251	410	251	1	0.61219512195122
MTND4P25	MT-ND4	201500005	201500537	201500000	201500548	532	548	532	1	0.970802919708029
MTND5P27	MT-ND5	201500830	201502549	201500748	201502559	1719	1811	1719	1	0.949199337382661
MTND6P7	MT-ND5	201502559	201503082	201500748	201502559	523	1811	0	0	0
MTND6P7	MT-ND6	201502559	201503082	201502560	201503084	523	524	522	0.998087954110899	0.99618320610687
NA	MT-TE	201503152	201504285	201503085	201503153	1133	68	1	0.00088261253309797	0.0147058823529412
NA	MT-CYB	201503152	201504285	201503158	201504298	1133	1140	1127	0.994704324801412	0.98859649122807
NA	MT-CO1	201700004	201700226	201700000	201700593	222	593	222	1	0.374367622259696
MTATP8P2	MT-ATP8	201900052	201900253	201900052	201900258	201	206	201	1	0.975728155339806
MTATP8P2	MT-ATP6	201900052	201900253	201900213	201900893	201	680	40	0.199004975124378	0.0588235294117647
NA	MT-TA	202200000	202201070	202200000	202200031	1070	31	31	0.0289719626168224	1
NA	MT-TN	202200000	202201070	202200033	202200105	1070	72	72	0.0672897196261682	1
NA	MT-TC	202200000	202201070	202200137	202200202	1070	65	65	0.0607476635514019	1
NA	MT-TY	202200000	202201070	202200202	202200267	1070	65	65	0.0607476635514019	1
NA	MT-CO1	202200000	202201070	202200280	202201821	1070	1541	790	0.738317757009346	0.512654120700844
NA	MT-CO3	202300000	202300601	202300000	202300596	601	596	596	0.991680532445923	1
NA	MT-TG	202300000	202300601	202300597	202300664	601	67	4	0.00665557404326123	0.0597014925373134
NA	MT-CYB	202900000	202900463	202900000	202900443	463	443	443	0.956803455723542	1
NA	MT-TT	202900000	202900463	202900444	202900509	463	65	19	0.041036717062635	0.292307692307692
MTND1P28	MT-TL1	203202705	203203654	203202634	203202708	949	74	3	0.00316122233930453	0.0405405405405405
MTND1P28	MT-ND1	203202705	203203654	203202711	203203666	949	955	943	0.993677555321391	0.987434554973822
MTND2P21	MT-TM	203203864	203204905	203203806	203203873	1041	67	9	0.00864553314121038	0.134328358208955
MTND2P21	MT-ND2	203203864	203204905	203203874	203204915	1041	1041	1031	0.990393852065322	0.990393852065322
NA	MT-CO1	203205324	203205811	203205308	203206849	487	1541	487	1	0.316028552887735
NA	MT-ATP8	203300022	203300683	203300000	203300067	661	67	45	0.0680786686838124	0.671641791044776
NA	MT-ATP6	203300022	203300683	203300022	203300702	661	680	661	1	0.972058823529412
NA	MT-ATP6	203300695	203301830	203300022	203300702	1135	680	7	0.00616740088105727	0.0102941176470588
NA	MT-CO3	203300695	203301830	203300702	203301485	1135	783	783	0.689867841409692	1
NA	MT-CO3	203400000	203400201	203400000	203400205	201	205	201	1	0.980487804878049
MTND3P10	MT-ND3	203400274	203400614	203400274	203400619	340	345	340	1	0.985507246376812
NA	MT-TR	203400683	203400970	203400620	203400684	287	64	1	0.00348432055749129	0.015625
NA	MT-ND4L	203400683	203400970	203400685	203400981	287	296	285	0.993031358885017	0.962837837837838
MTND4P26	MT-ND4L	203400970	203402328	203400685	203400981	1358	296	11	0.00810014727540501	0.0371621621621622
MTND4P26	MT-ND4	203400970	203402328	203400975	203402352	1358	1377	1353	0.996318114874816	0.982570806100218
MTND5P28	MT-TL2	203402520	203404618	203402481	203402551	2098	70	31	0.0147759771210677	0.442857142857143
MTND5P28	MT-ND5	203402520	203404618	203402552	203404363	2098	1811	1811	0.863203050524309	1
MTND5P28	MT-ND5	203500000	203501379	203500000	203501400	1379	1400	1379	1	0.985
MTND5P28	MT-ND5	203600000	203600724	203600000	203600901	724	901	724	1	0.803551609322974
MTND5P22	MT-TS2	203700003	203700197	203700000	203700008	194	8	5	0.0257731958762887	0.625
MTND5P22	MT-TL2	203700003	203700197	203700009	203700079	194	70	70	0.360824742268041	1
MTND5P22	MT-ND5	203700003	203700197	203700080	203701891	194	1811	117	0.603092783505155	0.0646051905024848
MTND1P29	MT-ND1	204200035	204201711	204200000	204200604	1676	604	569	0.339498806682578	0.94205298013245
MTND1P29	MT-ND1	204300000	204300462	204300000	204300463	462	463	462	1	0.997840172786177
MTND2P22	MT-TM	204300669	204301701	204300603	204300670	1032	67	1	0.000968992248062015	0.0149253731343284
MTND2P22	MT-ND2	204300669	204301701	204300671	204301712	1032	1041	1030	0.998062015503876	0.989433237271854
NA	MT-CO1	204302098	204303639	204302105	204303646	1541	1541	1534	0.995457495133031	0.995457495133031
NA	MT-TD	204303782	204304447	204303719	204303786	665	67	4	0.00601503759398496	0.0597014925373134
NA	MT-CO2	204303782	204304447	204303787	204304470	665	683	660	0.992481203007519	0.966325036603221
MTATP6P7	MT-ATP8	204304697	204305377	204304567	204304773	680	206	76	0.111764705882353	0.368932038834951
MTATP6P7	MT-ATP6	204304697	204305377	204304728	204305408	680	680	649	0.954411764705882	0.954411764705882
NA	MT-ATP6	204305374	204306147	204304728	204305408	773	680	34	0.0439844760672704	0.05
NA	MT-CO3	204305374	204306147	204305408	204306191	773	783	739	0.95601552393273	0.943805874840358
MTND4P27	MT-ND4L	204306947	204308300	204306671	204306967	1353	296	20	0.0147819660014782	0.0675675675675676
MTND4P27	MT-ND4	204306947	204308300	204306961	204308338	1353	1377	1339	0.989652623798965	0.972403776325345
MTND5P29	MT-TL2	204308489	204310295	204308467	204308537	1806	70	48	0.026578073089701	0.685714285714286
MTND5P29	MT-ND5	204308489	204310295	204308538	204310349	1806	1811	1757	0.972868217054264	0.970182219768084
MTND6P8	MT-ND5	204310275	204310796	204308538	204310349	521	1811	74	0.142034548944338	0.0408614025400331
MTND6P8	MT-ND6	204310275	204310796	204310350	204310874	521	524	446	0.856046065259117	0.851145038167939
NA	MT-ND6	204310869	204311519	204310350	204310874	650	524	5	0.00769230769230769	0.00954198473282443
NA	MT-TE	204310869	204311519	204310875	204310943	650	68	68	0.104615384615385	1
NA	MT-CYB	204310869	204311519	204310948	204312088	650	1140	571	0.878461538461539	0.500877192982456
NA	MT-ND4L	204400001	204400650	204400000	204400112	649	112	111	0.171032357473035	0.991071428571429
NA	MT-ND4	204400001	204400650	204400106	204401483	649	1377	544	0.838212634822804	0.395061728395062
MTND6P10	MT-ND4	204400724	204401240	204400106	204401483	516	1377	516	1	0.374727668845316
MTND5P23	MT-ND4	204401360	204403014	204400106	204401483	1654	1377	123	0.0743651753325272	0.0893246187363834
MTND5P23	MT-TH	204401360	204403014	204401484	204401552	1654	68	68	0.0411124546553809	1
MTND5P23	MT-TS2	204401360	204403014	204401553	204401611	1654	58	58	0.0350665054413543	1
MTND5P23	MT-TL2	204401360	204403014	204401612	204401682	1654	70	70	0.0423216444981862	1
MTND5P23	MT-ND5	204401360	204403014	204401683	204403494	1654	1811	1331	0.804715840386941	0.73495306460519
MTND4P21	MT-ND5	204403233	204404589	204401683	204403494	1356	1811	261	0.192477876106195	0.144119271120928
MTND4P21	MT-ND6	204403233	204404589	204403495	204404019	1356	524	524	0.386430678466077	1
MTND4P21	MT-TE	204403233	204404589	204404020	204404088	1356	68	68	0.0501474926253687	1
MTND4P21	MT-CYB	204403233	204404589	204404093	204405233	1356	1140	496	0.365781710914454	0.435087719298246
NA	MT-CO1	204700560	204701320	204700000	204701065	760	1065	505	0.664473684210526	0.474178403755869
NA	MT-TS1	204700560	204701320	204701066	204701134	760	68	68	0.0894736842105263	1
NA	MT-TD	204700560	204701320	204701138	204701205	760	67	67	0.0881578947368421	1
NA	MT-CO2	204700560	204701320	204701206	204701889	760	683	114	0.15	0.166910688140556
MTATP6P4	MT-CO2	204701323	204701997	204701206	204701889	674	683	566	0.839762611275964	0.828696925329429
MTATP6P4	MT-TK	204701323	204701997	204701915	204701984	674	69	69	0.102373887240356	1
MTATP6P4	MT-ATP8	204701323	204701997	204701986	204702192	674	206	11	0.0163204747774481	0.0533980582524272
NA	MT-ATP6	204702247	204702904	204702147	204702827	657	680	580	0.882800608828006	0.852941176470588
NA	MT-CO3	204702247	204702904	204702827	204703610	657	783	77	0.117199391171994	0.0983397190293742
NA	MT-ND3	204703050	204704468	204703679	204704024	1418	345	345	0.243300423131171	1
NA	MT-TR	204703050	204704468	204704025	204704089	1418	64	64	0.0451339915373766	1
NA	MT-ND4L	204703050	204704468	204704090	204704386	1418	296	296	0.208744710860367	1
NA	MT-CO3	204703050	204704468	204702827	204703610	1418	783	560	0.394922425952045	0.715197956577267
NA	MT-TG	204703050	204704468	204703611	204703678	1418	67	67	0.0472496473906911	1
NA	MT-ND1	204800000	204800364	204800000	204800624	364	624	364	1	0.583333333333333
MTND2P18	MT-TM	204800764	204801793	204800764	204800831	1029	67	67	0.06511175898931	1
MTND2P18	MT-ND2	204800764	204801793	204800832	204801873	1029	1041	961	0.933916423712342	0.923150816522574
MTND1P26	MT-TA	204802003	204802540	204801949	204802017	537	68	14	0.0260707635009311	0.205882352941176
MTND1P26	MT-TN	204802003	204802540	204802019	204802091	537	72	72	0.134078212290503	1
MTND1P26	MT-TC	204802003	204802540	204802123	204802188	537	65	65	0.121042830540037	1
MTND1P26	MT-TY	204802003	204802540	204802188	204802253	537	65	65	0.121042830540037	1
MTND1P26	MT-CO1	204802003	204802540	204802266	204803807	537	1541	274	0.51024208566108	0.17780661907852
NA	MT-ND2	205200000	205200238	205200000	205200339	238	339	238	1	0.702064896755162
MTND2P19	MT-TC	205200650	205203367	205200589	205200654	2717	65	4	0.00147221199852779	0.0615384615384615
MTND2P19	MT-TY	205200650	205203367	205200654	205200719	2717	65	65	0.0239234449760766	1
MTND2P19	MT-CO1	205200650	205203367	205200732	205202273	2717	1541	1541	0.56716967243283	1
MTND2P19	MT-TF	205300000	205300706	205300000	205300070	706	70	70	0.0991501416430595	1
MTND2P19	MT-RNR1	205300000	205300706	205300071	205301024	706	953	635	0.89943342776204	0.666316894018888
MTND1P27	MT-TV	205300922	205301823	205301025	205301093	901	68	68	0.0754716981132075	1
MTND1P27	MT-RNR2	205300922	205301823	205301094	205302652	901	1558	729	0.809100998890122	0.46790757381258
MTND1P27	MT-RNR1	205300922	205301823	205300071	205301024	901	953	102	0.113207547169811	0.107030430220357
NA	MT-ND4L	205800715	205801823	205800630	205800926	1108	296	211	0.19043321299639	0.712837837837838
NA	MT-ND4	205800715	205801823	205800920	205802297	1108	1377	903	0.814981949458484	0.655773420479303
MTND6P11	MT-ND4	205801892	205802374	205800920	205802297	482	1377	405	0.840248962655602	0.294117647058824
MTND6P11	MT-TH	205801892	205802374	205802298	205802366	482	68	68	0.141078838174274	1
MTND6P11	MT-TS2	205801892	205802374	205802367	205802425	482	58	7	0.0145228215767635	0.120689655172414
MTND5P24	MT-TL2	205802448	205804214	205802426	205802496	1766	70	48	0.0271800679501699	0.685714285714286
MTND5P24	MT-ND5	205802448	205804214	205802497	205804308	1766	1811	1717	0.972253680634202	0.94809497515185
MTND4P22	MT-ND6	205804498	205805666	205804309	205804833	1168	524	335	0.286815068493151	0.639312977099237
MTND4P22	MT-TE	205804498	205805666	205804834	205804902	1168	68	68	0.0582191780821918	1
MTND4P22	MT-CYB	205804498	205805666	205804907	205806047	1168	1140	759	0.649828767123288	0.66578947368421
NA	MT-CYB	205805782	205806076	205804907	205806047	294	1140	265	0.901360544217687	0.232456140350877
NA	MT-TT	205805782	205806076	205806048	205806113	294	65	28	0.0952380952380952	0.430769230769231
MTND3P9	MT-TP	205806143	205806488	205806116	205806183	345	67	40	0.115942028985507	0.597014925373134
NA	MT-CO2	205900000	205900555	205900000	205900516	555	516	516	0.92972972972973	1
NA	MT-TK	205900000	205900555	205900542	205900611	555	69	13	0.0234234234234234	0.188405797101449
NA	MT-CO3	205901552	205901977	205901454	205902237	425	783	425	1	0.542784163473819
NA	MT-ND2	206300000	206300265	206300000	206300657	265	657	265	1	0.403348554033486
MTND2P20	MT-TW	206300704	206301364	206300658	206300725	660	67	21	0.0318181818181818	0.313432835820896
MTND2P20	MT-TA	206300704	206301364	206300733	206300801	660	68	68	0.103030303030303	1
MTND2P20	MT-TN	206300704	206301364	206300803	206300875	660	72	72	0.109090909090909	1
MTND2P20	MT-TC	206300704	206301364	206300907	206300972	660	65	65	0.0984848484848485	1
MTND2P20	MT-TY	206300704	206301364	206300972	206301037	660	65	65	0.0984848484848485	1
MTND2P20	MT-CO1	206300704	206301364	206301050	206302591	660	1541	314	0.475757575757576	0.203763789746918
MTND4P28	MT-ND4	206400000	206400323	206400000	206400336	323	336	323	1	0.961309523809524
MTND5P30	MT-ND5	206400611	206402341	206400536	206402347	1730	1811	1730	1	0.955273329652126
MTND6P9	MT-ND6	206402354	206402872	206402348	206402872	518	524	518	1	0.988549618320611
NA	MT-CYB	206402980	206403282	206402946	206404086	302	1140	302	1	0.264912280701754
MTND5P25	MT-TR	206900000	206900785	206900000	206900057	785	57	57	0.0726114649681529	1
MTND5P25	MT-ND4L	206900000	206900785	206900058	206900354	785	296	296	0.377070063694268	1
MTND5P25	MT-ND4	206900000	206900785	206900348	206901725	785	1377	437	0.556687898089172	0.317356572258533
MTND4P23	MT-ND4	206901002	206902364	206900348	206901725	1362	1377	723	0.530837004405286	0.525054466230937
MTND4P23	MT-TH	206901002	206902364	206901726	206901794	1362	68	68	0.0499265785609398	1
MTND4P23	MT-TS2	206901002	206902364	206901795	206901853	1362	58	58	0.0425844346549192	1
MTND4P23	MT-TL2	206901002	206902364	206901854	206901924	1362	70	70	0.0513950073421439	1
MTND4P23	MT-ND5	206901002	206902364	206901925	206903736	1362	1811	439	0.322320117474303	0.24240750966317
NA	MT-ND5	206902357	206902654	206901925	206903736	297	1811	297	1	0.163997791275538
NA	MT-CO2	207000363	207001039	207000358	207001041	676	683	676	1	0.989751098096633
NA	MT-ATP8	207001256	207001781	207001138	207001344	525	206	88	0.167619047619048	0.427184466019417
NA	MT-ATP6	207001256	207001781	207001299	207001979	525	680	482	0.918095238095238	0.708823529411765
NA	MT-ATP6	207100103	207100856	207100000	207100117	753	117	14	0.0185922974767596	0.11965811965812
NA	MT-CO3	207100103	207100856	207100117	207100900	753	783	739	0.98140770252324	0.943805874840358
NA	MT-ND3	207100932	207101275	207100969	207101314	343	345	306	0.892128279883382	0.88695652173913
NA	MT-TG	207100932	207101275	207100901	207100968	343	67	36	0.104956268221574	0.537313432835821
NA	MT-TR	207101340	207101634	207101315	207101379	294	64	39	0.13265306122449	0.609375
NA	MT-ND4L	207101340	207101634	207101380	207101676	294	296	254	0.863945578231292	0.858108108108108
MTND4P29	MT-ND4L	207101628	207103295	207101380	207101676	1667	296	48	0.0287942411517696	0.162162162162162
MTND4P29	MT-ND4	207101628	207103295	207101670	207103047	1667	1377	1377	0.826034793041392	1
MTND4P29	MT-ND4	207200000	207200527	207200000	207200530	527	530	527	1	0.994339622641509
NA	MT-CO1	207400004	207400494	207400000	207400501	490	501	490	1	0.978043912175649
NA	MT-CO2	207400643	207401319	207400642	207401325	676	683	676	1	0.989751098096633
NA	MT-ATP8	207401559	207402230	207401422	207401628	671	206	69	0.102831594634873	0.33495145631068
NA	MT-ATP6	207401559	207402230	207401583	207402263	671	680	647	0.964232488822653	0.951470588235294
NA	MT-CO3	207402490	207403002	207402263	207403046	512	783	512	1	0.65389527458493
NA	MT-ND3	207403074	207403417	207403115	207403460	343	345	302	0.880466472303207	0.87536231884058
NA	MT-TG	207403074	207403417	207403047	207403114	343	67	40	0.116618075801749	0.597014925373134
NA	MT-TR	207403485	207403777	207403461	207403525	292	64	40	0.136986301369863	0.625
NA	MT-ND4L	207403485	207403777	207403526	207403822	292	296	251	0.85958904109589	0.847972972972973
MTND4P30	MT-ND4L	207403773	207404671	207403526	207403822	898	296	49	0.05456570155902	0.165540540540541
MTND4P30	MT-ND4	207403773	207404671	207403816	207405193	898	1377	855	0.952115812917595	0.620915032679739
MTND4P30	MT-ND4	207500000	207500265	207500000	207501055	265	1055	265	1	0.251184834123223
NA	MT-CYB	207700191	207700902	207700000	207700494	711	494	303	0.426160337552743	0.61336032388664
NA	MT-TC	207800000	207800707	207800000	207800060	707	60	60	0.0848656294200849	1
NA	MT-TY	207800000	207800707	207800060	207800125	707	65	65	0.0919377652050919	1
NA	MT-CO1	207800000	207800707	207800138	207801679	707	1541	569	0.804809052333805	0.369240752757949
MTND2P23	MT-ND2	208100000	208100647	208100000	208100657	647	657	647	1	0.984779299847793
NA	MT-CO1	208101064	208102554	208101050	208102591	1490	1541	1490	1	0.966904607397794
NA	MT-CO1	208500003	208500453	208500000	208501391	450	1391	450	1	0.323508267433501
NA	MT-CO1	300200000	300200342	300200000	300200359	342	359	342	1	0.952646239554318
NA	MT-ND3	300500000	300500173	300500000	300500003	173	3	3	0.0173410404624277	1
NA	MT-TR	300500000	300500173	300500004	300500068	173	64	64	0.369942196531792	1
NA	MT-ND4L	300500000	300500173	300500069	300500365	173	296	104	0.601156069364162	0.351351351351351
NA	MT-ATP6	301200070	301200235	301200000	301200070	165	70	0	0	0
NA	MT-CO3	301200070	301200235	301200070	301200853	165	783	165	1	0.210727969348659
NA	MT-CO1	301301048	301301732	301300000	301301418	684	1418	370	0.54093567251462	0.260930888575458
NA	MT-TS1	301301048	301301732	301301419	301301487	684	68	68	0.0994152046783626	1
NA	MT-TD	301301048	301301732	301301491	301301558	684	67	67	0.097953216374269	1
NA	MT-CO2	301301048	301301732	301301559	301302242	684	683	173	0.252923976608187	0.253294289897511
NA	MT-CO2	301301876	301303259	301301559	301302242	1383	683	366	0.264642082429501	0.535871156661786
NA	MT-TK	301301876	301303259	301302268	301302337	1383	69	69	0.0498915401301518	1
NA	MT-ATP8	301301876	301303259	301302339	301302545	1383	206	206	0.148951554591468	1
NA	MT-ATP6	301301876	301303259	301302500	301303180	1383	680	680	0.491684743311641	1
NA	MT-CO3	301301876	301303259	301303180	301303963	1383	783	79	0.0571221981200289	0.100893997445722
MTRNR2L12	MT-TV	301400000	301400968	301400206	301400274	968	68	68	0.0702479338842975	1
MTRNR2L12	MT-RNR2	301400000	301400968	301400275	301401833	968	1558	693	0.715909090909091	0.444801026957638
MTRNR2L12	MT-RNR1	301400000	301400968	301400000	301400205	968	205	205	0.211776859504132	1
MTND4P16	MT-ND4	301700213	301701579	301700183	301701560	1366	1377	1347	0.986090775988287	0.978213507625272
MTND4P16	MT-TH	301700213	301701579	301701561	301701629	1366	68	18	0.0131771595900439	0.264705882352941
NA	MT-TH	301701590	301702269	301701561	301701629	679	68	39	0.0574374079528719	0.573529411764706
NA	MT-TS2	301701590	301702269	301701630	301701688	679	58	58	0.085419734904271	1
NA	MT-TL2	301701590	301702269	301701689	301701759	679	70	70	0.103092783505155	1
NA	MT-ND5	301701590	301702269	301701760	301703571	679	1811	509	0.749631811487482	0.281060187741579
