id	localization	chr	start_n	end_n	mt	start_mt	end_mt	hgnc_symbol	Description	gene_biotype	name_1006	ensembl_gene_id_version	transcript_count	tissue_means	sum	GTEx_gene_id_version	Adipose...Subcutaneous	Adipose...Visceral..Omentum.	Adrenal.Gland	Artery...Aorta	Artery...Coronary	Artery...Tibial	Bladder	Brain...Amygdala	Brain...Anterior.cingulate.cortex..BA24.	Brain...Caudate..basal.ganglia.	Brain...Cerebellar.Hemisphere	Brain...Cerebellum	Brain...Cortex	Brain...Frontal.Cortex..BA9.	Brain...Hippocampus	Brain...Hypothalamus	Brain...Nucleus.accumbens..basal.ganglia.	Brain...Putamen..basal.ganglia.	Brain...Spinal.cord..cervical.c.1.	Brain...Substantia.nigra	Breast...Mammary.Tissue	Cells...EBV.transformed.lymphocytes	Cells...Transformed.fibroblasts	Cervix...Ectocervix	Cervix...Endocervix	Colon...Sigmoid	Colon...Transverse	Esophagus...Gastroesophageal.Junction	Esophagus...Mucosa	Esophagus...Muscularis	Fallopian.Tube	Heart...Atrial.Appendage	Heart...Left.Ventricle	Kidney...Cortex	Liver	Lung	Minor.Salivary.Gland	Muscle...Skeletal	Nerve...Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin...Not.Sun.Exposed..Suprapubic.	Skin...Sun.Exposed..Lower.leg.	Small.Intestine...Terminal.Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole.Blood	description	chromosome_name	start_position	end_position	strand
NUMT_01.006	intronic	1	11202904	11202975	mt	12293	12358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.007	intergenic	1	11485319	11485829	mt	15079	15579	NA	RP11-149P14.1	pseudogene	NA	ENSG00000224338.2	1	0	0	ENSG00000224338.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	11485314	11485878	-1
NUMT_01.008	intergenic	1	18921906	18922120	mt	3901	4114	NA	RP1-8B22.2	pseudogene	NA	ENSG00000225478.2	1	0	0	ENSG00000225478.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	18921908	18922130	1
NUMT_01.009	intronic	1	38077348	38077421	mt	8934	9007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.010	intronic	1	50482768	50483177	mt	4612	5022	MTND2P29	MTND2P29	pseudogene	NA	ENSG00000233595.2	1	0	0	ENSG00000233595.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MT-ND2 pseudogene 29 [Source:HGNC Symbol;Acc:42130]	1	50482764	50483175	1
NUMT_01.011	intergenic	1	55838223	55839324	mt	7302	8454	NA	RP4-633H17.2	pseudogene	NA	ENSG00000232198.2	1	0	0	ENSG00000232198.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	55838383	55838989	-1
NUMT_01.012	intronic	1	77436934	77437100	mt	16401	16567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.013	intergenic	1	81546486	81546860	mt	4970	5344	MTND2P30	MTND2P30	pseudogene	NA	ENSG00000227937.1	1	0	0	ENSG00000227937.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MT-ND2 pseudogene 30 [Source:HGNC Symbol;Acc:42131]	1	81546475	81546856	1
NUMT_01.014	partial_gene	1	94385731	94385970	mt	12639	12884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.015	partial_gene	1	94387537	94387832	mt	12032	12340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.016	partial_gene	1	94389832	94390416	mt	9915	10501	NA	RP5-837O21.6	pseudogene	NA	ENSG00000235794.1	1	0	0	ENSG00000235794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94389942	94390272	-1
NUMT_01.016	partial_gene	1	94389832	94390416	mt	9915	10501	NA	RP5-837O21.5	pseudogene	NA	ENSG00000232752.1	1	0.00132490566037736	0.0715449056603774	ENSG00000232752.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07022	0	0	0	0	NA	1	94390299	94390941	-1
NUMT_01.017	partial_gene	1	94390946	94391630	mt	8524	9217	NA	RP5-837O21.4	pseudogene	NA	ENSG00000229842.2	1	0	0	ENSG00000229842.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94390962	94391628	-1
NUMT_01.017	partial_gene	1	94390946	94391630	mt	8524	9217	NA	RP5-837O21.8	pseudogene	NA	ENSG00000250890.1	1	0	0	ENSG00000250890.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94391588	94391744	-1
NUMT_01.018	partial_gene	1	94392191	94392581	mt	7863	8246	NA	RP5-837O21.3	pseudogene	NA	ENSG00000236689.1	1	0	0	ENSG00000236689.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94392171	94393125	-1
NUMT_01.019	partial_gene	1	94393032	94393864	mt	6838	7680	NA	RP5-837O21.3	pseudogene	NA	ENSG00000236689.1	1	0	0	ENSG00000236689.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94392171	94393125	-1
NUMT_01.019	partial_gene	1	94393032	94393864	mt	6838	7680	NA	RP5-837O21.1	pseudogene	NA	ENSG00000226960.1	1	0	0	ENSG00000226960.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	94393270	94393858	-1
NUMT_01.020	partial_gene	1	94399305	94399832	mt	5566	6109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.021	intergenic	1	94401962	94403299	mt	1739	3106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.022	intronic	1	104163778	104163820	mt	12477	12519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.023	intergenic	1	107345251	107348712	mt	5855	9328	NA	RP11-233E12.4	pseudogene	NA	ENSG00000233449.1	1	0	0	ENSG00000233449.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	107345377	107346049	-1
NUMT_01.023	intergenic	1	107345251	107348712	mt	5855	9328	NA	RP11-233E12.2	pseudogene	NA	ENSG00000232551.2	1	0	0	ENSG00000232551.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	107347096	107348654	-1
NUMT_01.024	intronic	1	114119380	114119503	mt	13328	13451	MTND5P20	MTND5P20	pseudogene	NA	ENSG00000238256.1	1	0	0	ENSG00000238256.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MT-ND5 pseudogene 20 [Source:HGNC Symbol;Acc:42300]	1	114119379	114119521	-1
NUMT_01.025	partial_gene	1	142790231	142791177	mt	9394	10302	NA	RP11-423O2.3	pseudogene	NA	ENSG00000230446.1	1	0.0609285849056604	3.29014358490566	ENSG00000230446.1	0	0	0.12075	0	0	0	0.1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1643	0.1099	0	0.4907	0	0	0	0	0	0.356	0	0	0	0	0	0.1207	0.090415	0.16115	0.2207	0	0.1116	0.1209	0.1239	0.1445	0.06895	0	0	0.2276	0.24235	0.1922	0	0	NA	1	142790233	142790520	-1
NUMT_01.025	partial_gene	1	142790231	142791177	mt	9394	10302	NA	RP11-423O2.2	pseudogene	NA	ENSG00000236055.1	1	0.223624622641509	12.0757296226415	ENSG00000236055.1	0.2077	0.1063	0.3126	0.2248	0.2777	0.2279	0.4662	0	0	0	0.1363	0.2355	0	0	0	0	0	0	0.06852	0	0.2988	0.41415	0.2655	0.273755	0.5069	0.2704	0.16005	0.29195	0.1463	0.23945	0.2888	0.1349	0.1004	0.08294	0.04784	0.2204	0.3674	0.25285	0.49995	0.7116	0.10825	0.3116	0.36245	0.2987	0.3788	0.2231	0.1527	0.18085	0.5362	0.6705	0.4457	0.3454	0	NA	1	142790583	142791175	-1
NUMT_01.026	partial_gene	1	142791197	142792537	mt	5613	6982	NA	RP11-423O2.1	pseudogene	NA	ENSG00000230255.1	1	0.154864811320755	8.36269981132076	ENSG00000230255.1	0.14175	0.08487	0.1855	0.1371	0.158	0.1597	0.3726	0	0	0	0.07466	0.1843	0.027285	0	0	0	0	0	0.06442	0	0.18445	0.23205	0.1766	0.19515	0.781	0.1477	0.1232	0.1673	0.08054	0.168	0.3204	0.09462	0.05673	0.05254	0.03289	0.1124	0.2355	0.1507	0.33545	0.4597	0.068125	0.2102	0.1976	0.2087	0.2599	0.13	0.082405	0.10435	0.3393	0.41785	0.292	0.2003	0	NA	1	142791488	142792556	1
NUMT_01.027	partial_gene	1	142792601	142793117	mt	987	1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.028	partial_gene	1	143243224	143243741	mt	987	1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.029	partial_gene	1	143243808	143245150	mt	5613	6979	NA	RP11-782C8.6	pseudogene	NA	ENSG00000231289.1	1	0.0451092452830189	2.43589924528302	ENSG00000231289.1	0.064625	0	0.10125	0.09623	0.0526	0.06401	0.1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07022	0	0.0389	0.024855	0	0.02818	0	0.059445	0	0.05882	0.1951	0.02133	0	0	0	0.0324	0.06777	0.038165	0.12975	0.3085	0	0.0748	0.04103	0.08138	0.116	0.05783	0	0	0.1019	0.1128	0.1485	0.0907	0	NA	1	143243809	143244859	-1
NUMT_01.030	partial_gene	1	143245170	143246118	mt	9394	10302	NA	RP11-782C8.7	pseudogene	NA	ENSG00000229420.1	1	0.0238920754716981	1.2901720754717	ENSG00000229420.1	0	0	0.1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1276	0	0	0	0	0	0	0.2949	0	0	0	0	0	0	0	0.1259	0.3399	0	0	0	0	0.09284	0	0	0	0.07874	0	0.1037	0	0	NA	1	143245164	143245590	1
NUMT_01.030	partial_gene	1	143245170	143246118	mt	9394	10302	NA	RP11-782C8.8	pseudogene	NA	ENSG00000234654.1	1	0.00586037735849057	0.316460377358491	ENSG00000234654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1624	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	143245823	143246210	1
NUMT_01.031	partial_gene	1	143342817	143343249	mt	9394	9825	NA	RP11-435B5.1	pseudogene	NA	ENSG00000225010.1	1	0	0	ENSG00000225010.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	143342844	143343247	-1
NUMT_01.032	partial_gene	1	143343269	143344612	mt	5613	6979	NA	RP11-435B5.2	pseudogene	NA	ENSG00000232571.1	1	0	0	ENSG00000232571.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	143343559	143344609	1
NUMT_01.033	partial_gene	1	143344679	143345193	mt	987	1505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.034	intergenic	1	147332804	147332915	mt	6870	6981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.035	intronic	1	169443301	169443396	mt	8462	8557	NA	RP1-206D15.5	pseudogene	NA	ENSG00000234604.2	1	0.293209433962264	15.8333094339623	ENSG00000234604.2	0.51005	0.7735	0.3396	0.4608	0	0.4747	0.5508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8751	0	0.3636	0.53365	0	0.34	0.26635	0.50895	0	0.3288	1.006	0.5365	0.2848	0	0	0.6079	0.475	0.5813	0.6848	0.9361	0.30985	0.3944	0	0.5646	0.5466	0.3682	0	0.4668	0	0.57655	0.4321	0.4427	0	NA	1	169443298	169443397	-1
NUMT_01.036	intergenic	1	172679671	172679742	mt	5587	5654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.037	intronic	1	181391921	181392314	mt	12143	12536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.038	intergenic	1	190878857	190879190	mt	612	941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
